Category,Part,Recommended 2026 example,Qty 24,Qty 64,Connector/no-solder detail,Supplier examples,Approx unit GBP May 2026,Notes
MCU module,ESP32-S3 dev board,Seeed Studio XIAO ESP32S3 Sense or Adafruit Feather ESP32-S3 TFT,1,1,USB-C preassembled; castellated pins unused,Seeed/Adafruit/Pimoroni/DigiKey,10-22,Starter recommendation: XIAO ESP32S3 Sense for compact USB flashing and onboard mic camera disabled
MCU module,RP2040 dev board option,Adafruit Feather RP2040 USB-C or Pimoroni PGA2040,0,1,USB-C preassembled; use STEMMA QT/JST where available,Adafruit/Pimoroni/DigiKey,9-14,Use for deterministic scheduler research; ESP32-S3 remains easiest beginner board
Haptic driver module,DRV2605L breakout,Adafruit DRV2605L Haptic Motor Controller STEMMA QT,8,16,JST-SH STEMMA QT I2C in/out plus screwless/JST actuator adapter,Adafruit/Pimoroni/DigiKey,7-9,One module can drive one LRA/ERM; duplicate addresses require mux branches
I2C mux module,TCA9548A breakout,Adafruit TCA9548A STEMMA QT multiplexer,1,2,JST-SH STEMMA QT,Adafruit/Pimoroni/DigiKey,7-9,Creates address-isolated DRV2605L banks without soldering
Actuator,Pre-wired LRA coin motor,Precision Microdrives 10 mm LRA with JST-PH/GH lead or Jinlong LRA with JST lead,24,64,Factory-crimped 2-pin JST lead,Precision Microdrives/Jinlong/AliExpress vetted sellers,2.5-4.5,Beginner-safe choice; tape label each connector A00-A23 or A00-A63 before inserting
Actuator premium,Pre-wired TacHammer class haptuator,Tactile Labs/Titan pre-wired TacHammer dev units,0,64,Factory lead to JST-GH adapter,Tactile Labs/Mouser where stocked,8-15,Research 64-actuator option; larger and higher current than LRA starter
Magnetic connector,4/6/8-pin magnetic pogo pair,Adafruit magnetic pogo connector or 2.54 mm keyed magnetic pogo pair,6,12,Prewired pigtails or board-to-board pogo pair,Adafruit/Amazon/AliExpress,2-6,Use keyed polarity; mark gold-dot side as VBUS/3V3 side in assembly
JST cable,JST-SH 4-pin STEMMA QT cable,50 mm and 100 mm Qwiic/STEMMA QT cables,10,20,Pre-crimped plug-to-plug,Adafruit/SparkFun/Pimoroni,1-2,I2C daisy-chain and mux branches
JST cable,JST-PH/GH 2-pin extension,100 mm pre-crimped motor/battery extensions,24,64,Pre-crimped plug-to-socket,Adafruit/SparkFun/Amazon/AliExpress,0.5-1.5,No wire stripping; buy matching plug family for selected actuator
Battery,Protected LiPo with connector,3.7 V 1200-2000 mAh protected LiPo JST-PH,1,2,Factory JST-PH plug,Adafruit/Pimoroni/CPC,10-18,Use protected cells only; never bypass protection PCB
Battery cartridge,USB-C LiPo charger module,Adafruit Micro-Lipo USB-C charger or SparkFun LiPo Charger Plus,1,1,JST-PH battery + USB-C charge,Adafruit/SparkFun/Pimoroni,7-15,The charger lives in the removable cartridge for tool-free swap/charge
Power switch,Inline JST-PH switch cable,JST-PH male-female switch harness,1,1,Pre-crimped inline switch,Adafruit/Amazon,2-4,Optional physical off switch before first flash
Mic array,Plug-in mic module,Adafruit I2S MEMS Microphone breakout or Seeed XIAO Sense onboard mic,1-4,4-8,STEMMA/Qwiic where possible or bundled no-solder adapter,Adafruit/Seeed/Pimoroni,5-8,Starter uses one onboard/plug-in mic; research build distributes mics around bay windows
Fasteners,Magnets,3x1 mm N52 nickel-coated disc magnets,24,40,Press-fit with CA/epoxy; no electrical role,Amazon/Magnet Expert,0.05-0.12,Keep polarity consistent; not for children or pacemaker-adjacent handling
Fasteners,Snap-fit backup screws,M2 nylon thumb screws or M2.5 captive thumb screws,4,6,Hand-tightened only,Accu/Amazon,0.20-0.60,Optional backup for high-motion testing; no screwdriver required if thumb screws are used
Print material,FDM hard shell,PETG or PA12/PA12-CF filament,1 spool,1 spool,N/A,Prusa/Polymaker/Bambu/3DXTech,25-60,PETG is easiest; PA12-CF is tougher but requires dry filament
Print material,Flexible strap/liner,TPU 85A-95A filament,1 spool,1 spool,N/A,Prusa/Polymaker/NinjaTek,25-45,Use for skin-side comfort and cable channels
Print material,Resin option,ISO 10993 biocompatible surgical-guide resin,500 g,500 g,N/A,Formlabs/Phrozen/Loctite,80-180,If resin is not certified for skin, fully seal skin contact surfaces
Skin seal,Gasket/overmold,Medical-grade silicone sheet or Dragon Skin class silicone,1,1,N/A,Smooth-On/specialist suppliers,18-35,Do not leave uncured silicone on skin; follow supplier cure documentation
Labels,Beginner cable labels,Wrap-around numbered cable labels A00-A63,1 pack,1 pack,N/A,Amazon/office suppliers,4-8,Critical for zero-electronics builders
Tools,Required non-electronics tools,3D printer and USB-C cable,1,1,N/A,Existing tools,0,No soldering iron; no crimper; no wire stripper; no multimeter required for starter guide
