Category,Part,Recommended 2026 example,Qty per build,Connector / no-solder detail,Supplier examples,Approx unit GBP May 2026,Notes
MCU module,XIAO nRF52840 (Sense),Seeed Studio XIAO nRF52840 Sense,1,USB-C preassembled; castellated 14-pin; onboard PDM mic + IMU on Sense variant,Seeed/Pimoroni/Mouser/DigiKey,10-18,Primary v2 board. nRF52840 = direct evolution of micro:bit v2 nRF52833. BLE 5.x + onboard LiPo charger. Non-Sense XIAO nRF52840 is fine when an external mic or phone-only audio is used.
Haptic driver,DRV2605L breakout (STEMMA QT),Adafruit DRV2605L Haptic Motor Controller (PID 2305) or generic STEMMA QT clone,1,JST-SH STEMMA QT in/out + 2-pin screw terminal or JST to actuator,Adafruit/Pimoroni/DigiKey,7-9,Drives one LRA with onboard waveform ROM. Add a second module + I2C address change (open ADDR jumper) or a TCA9548A for >1 driver.
I2C mux (optional),TCA9548A breakout,Adafruit TCA9548A STEMMA QT (PID 5626),0-1,JST-SH STEMMA QT,Adafruit/Pimoroni/DigiKey,7-9,Needed only when running >2 DRV2605L modules with conflicting addresses.
Actuator,Pre-wired LRA coin motor (10 mm),Precision Microdrives C10-100 LRA with JST-PH lead or Jinlong G1040003D,2-4,Factory-crimped 2-pin JST-PH lead,Precision Microdrives/Jinlong/Pimoroni,2.5-4.5,2 LRAs = comfortable daily wear; 4 LRAs = richer spatial cue. Sandwich between XIAO and lid; thermal pad against case wall.
Battery,Thin protected LiPo 3.7 V 300-500 mAh,LP502535 (~400 mAh) or LP402535 (~300 mAh) with JST-PH,1,Factory JST-PH plug,Adafruit/Pimoroni/CPC/vetted AliExpress,5-10,Use protected cells only. 502535 fits the default 35x25x5.2 mm pocket. Charged via XIAO USB-C or magnetic pogo dock.
Charging dock,2-pin magnetic pogo pair,Adafruit magnetic pogo connector pair (PID 5358) or 4-pin keyed magnetic pogo,1,Pre-wired pigtails to VBUS + GND,Adafruit/Amazon,3-6,Magnetic pogo on case underside; dock side wires to any USB-C 5 V source. Keyed polarity required.
Cable,JST-SH 4-pin STEMMA QT cable,50 mm Qwiic/STEMMA QT cable,1-2,Pre-crimped plug-to-plug,Adafruit/SparkFun/Pimoroni,1-2,XIAO -> DRV2605L (use a Qwiic-to-castellated breakout or solder 4 wires once; v2 starter target keeps it no-solder via a XIAO expansion board).
XIAO expansion board (recommended for no-solder),Seeed Studio Expansion Board Base for XIAO (Grove + battery JST),1,Grove I2C + JST 2-pin battery; XIAO clicks in,Seeed/Pimoroni/Mouser,5-9,Provides Grove I2C to a Grove-to-STEMMA QT cable, plus JST-PH battery socket. Lets a beginner build the whole device with zero soldering.
Cable,Grove to STEMMA QT/Qwiic cable,SparkFun PRT-15109 or Adafruit 4528,1,Pre-crimped 4-pin,SparkFun/Adafruit,1.5-3,Bridges XIAO expansion Grove to DRV2605L STEMMA QT.
Mic vent,IP67 acoustic membrane dot,PUI Audio/Gore acoustic vent 3-5 mm,1,Adhesive backed,DigiKey/Mouser,0.40-0.80,Only needed when XIAO Sense onboard PDM mic is used through the lid vent.
Fasteners,Snap-fit captive nuts (optional),M1.6 brass heat-set inserts or nylon M1.6 screws,4,Press-fit / hand-tightened,Accu/Amazon,0.10-0.50,Default v2 uses snap-fit lid only; screws are optional for sport use.
Strap,20-22 mm quick-release sport band,Any community parametric Apple-Watch-Ultra-style TPU/silicone band from Printables/MakerWorld,1,Standard 20 mm or 22 mm spring bars,Printables/MakerWorld/Amazon,0-12,Drop-in. Recommend printing a TPU 95A band from a CC-licensed community design.
Strap pins,Quick-release spring bars 20/22 mm,Stainless 1.5 mm spring bars,2,Hand-fit,Amazon/Watch parts,1-3,Match lug_width_mm parameter.
Print material,FDM hard shell,PETG or PA12-CF filament,~80 g,N/A,Prusa/Polymaker/Bambu/3DXTech,2-5 per build,0.12 mm layer, 4 perimeters, 30% gyroid for case + lid.
Print material,Flexible strap/skin liner,TPU 95A filament,~30 g,N/A,Prusa/Polymaker/NinjaTek,1-3 per build,Used for integrated_tpu strap_style or printed bands.
Skin seal,Soft gasket,1 mm self-adhesive EPDM/silicone foam strip,1,N/A,RS/Amazon,1-3,Optional: line the seal groove for IP-ish splash resistance.
Tools,Required tools,3D printer + USB-C cable,1,N/A,Existing,0,No soldering iron required when using the XIAO Expansion Board path.
